CCLE Cell Line Name,17-AAG,AEW541,AZD0530,AZD6244,Erlotinib,Irinotecan,L-685458,LBW242,Lapatinib,Nilotinib,Nutlin-3,PD-0325901,PD-0332991,PF2341066,PHA-665752,PLX4720,Paclitaxel,Panobinostat,RAF265,Sorafenib,TAE684,TKI258,Topotecan,ZD-6474
ACHN_KIDNEY,2.06,0.62,1.22,0.69,1.25,,0.00,0.49,0.84,,0.48,1.27,,0.48,0.17,0.38,3.99,4.55,2.39,0.65,0.96,0.95,3.73,1.88
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,3.21,1.88,4.05,1.23,1.08,5.89,2.20,1.13,1.18,7.01,1.59,1.73,0.76,3.10,1.71,1.03,6.72,6.31,2.43,2.10,2.82,2.03,6.53,3.07
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,5.29,2.90,0.33,1.61,1.04,3.73,1.28,0.56,1.23,1.56,1.17,2.99,0.62,1.33,1.06,0.42,6.60,5.93,1.80,0.98,3.12,1.58,4.61,1.29
AN3CA_ENDOMETRIUM,4.01,0.35,0.48,0.62,0.30,,0.09,0.71,0.00,0.20,0.81,0.74,0.61,0.03,0.57,0.37,5.58,3.59,1.09,0.19,0.22,1.06,1.46,1.89
ASPC1_PANCREAS,3.42,1.40,0.64,2.13,0.25,2.24,0.19,0.48,0.41,0.22,0.02,2.61,0.00,0.60,0.28,0.28,4.09,4.19,1.55,0.42,1.50,0.51,1.60,1.15
AU565_BREAST,4.27,0.77,0.23,0.10,0.49,,0.84,0.79,3.57,0.87,0.20,0.05,0.90,0.80,0.34,0.60,6.70,5.09,1.53,0.63,0.15,0.71,3.84,1.19
AZ521_STOMACH,3.61,2.35,2.18,1.53,1.12,4.40,1.28,0.96,1.55,1.15,1.37,2.16,0.94,0.97,0.31,0.61,6.41,4.89,2.18,0.69,2.45,2.15,4.01,1.75
BCPAP_THYROID,3.47,1.32,1.54,2.52,0.32,3.98,0.49,1.04,0.35,0.73,0.71,2.85,0.39,0.64,0.89,1.22,6.70,4.39,2.15,1.55,1.67,0.92,3.66,0.70
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,3.80,0.33,1.91,1.46,0.00,,0.00,0.24,0.00,0.00,0.17,2.32,0.82,0.00,0.04,0.21,6.38,3.84,0.64,0.28,0.17,0.61,3.80,2.01
BFTC909_KIDNEY,3.62,0.90,0.25,0.36,0.04,,0.15,0.49,0.18,0.00,0.02,0.87,0.24,0.44,0.16,0.11,5.19,4.09,0.62,,0.65,1.23,3.14,0.84
BGC823_STOMACH,4.24,1.56,0.10,0.18,0.19,2.29,0.21,0.14,0.14,0.03,0.06,0.22,0.00,0.83,0.01,0.14,7.00,4.98,0.63,0.13,1.99,0.88,1.27,0.76
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.98,0.34,0.06,0.06,0.01,4.74,0.00,0.07,0.65,0.00,0.00,0.00,0.29,0.88,0.00,0.01,7.12,4.68,0.82,0.00,0.50,1.07,4.12,0.47
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,3.60,0.84,2.05,0.11,0.36,4.89,0.03,0.32,0.36,0.16,0.14,0.07,1.12,0.92,0.41,0.61,6.57,5.85,1.25,0.11,0.64,1.72,4.52,1.97
BT20_BREAST,1.05,0.53,1.18,0.02,1.31,2.42,0.30,0.49,0.67,0.40,0.21,0.47,0.15,0.52,0.47,0.00,4.96,4.53,0.94,0.47,0.80,0.13,2.19,0.81
BT474_BREAST,3.78,0.70,0.81,0.13,0.32,,0.74,0.16,3.38,0.52,0.25,0.59,1.03,0.23,0.41,0.17,3.37,5.13,0.65,0.81,0.40,0.34,0.18,0.52
BT549_BREAST,4.80,1.00,0.84,0.26,0.25,3.41,0.15,1.63,1.00,0.64,0.29,0.15,0.00,0.53,0.11,0.49,5.82,3.77,2.11,0.59,0.80,1.08,4.20,0.97
BXPC3_PANCREAS,3.48,0.73,1.55,1.97,0.73,,0.37,2.37,1.30,,0.85,2.86,,0.55,0.88,0.89,5.47,3.97,,0.35,1.64,1.11,2.88,1.24
C2BBE1_LARGE_INTESTINE,2.28,1.34,2.06,1.61,1.13,,0.01,0.53,1.43,0.73,0.40,2.60,0.79,0.73,0.00,0.41,3.48,4.67,1.11,0.22,1.47,0.53,1.37,1.95
C32_SKIN,6.59,0.82,0.00,1.85,0.29,2.04,0.04,0.49,0.00,0.14,0.00,3.21,0.07,0.26,0.19,1.25,3.19,2.45,1.18,0.32,0.67,0.39,2.29,0.45
C3A_LIVER,5.30,1.54,0.78,1.57,0.45,,0.56,1.36,0.57,,0.46,2.44,0.41,0.51,0.75,0.50,3.00,5.23,1.12,0.71,1.06,0.26,2.62,1.42
CAKI2_KIDNEY,1.61,1.15,1.41,1.28,1.09,0.55,0.13,0.36,0.77,0.04,0.15,1.84,0.14,0.00,0.00,0.40,4.81,3.69,1.57,0.45,0.73,0.95,1.12,1.27
CAL12T_LUNG,3.50,2.09,1.88,1.23,1.77,,,1.11,1.50,,0.70,2.22,,1.19,1.54,0.60,4.98,4.16,,0.66,2.87,1.50,1.94,2.53
CAL27_UPPER_AERODIGESTIVE_TRACT,4.09,0.94,1.53,2.35,2.32,,0.00,0.31,1.88,,0.00,2.62,0.00,0.56,0.78,0.00,7.12,4.46,1.09,0.33,0.60,0.58,3.86,3.44
CAL78_BONE,4.33,1.27,0.70,0.15,0.69,2.90,0.76,0.70,0.43,0.53,0.02,0.19,0.17,0.87,0.34,0.36,5.58,4.61,1.72,0.30,1.40,1.71,3.13,0.30
CAL851_BREAST,3.69,1.37,1.77,1.70,2.02,2.86,0.09,1.94,1.91,0.07,0.15,2.35,0.20,0.29,0.05,0.27,5.39,4.75,2.35,0.05,0.97,0.32,2.45,1.72
CALU1_LUNG,3.37,0.15,0.20,1.61,0.04,1.81,0.02,0.07,0.35,0.19,0.38,2.20,0.05,0.09,0.20,0.00,4.19,3.52,1.60,0.06,0.85,0.60,1.97,0.39
CALU3_LUNG,2.05,0.56,2.37,2.37,1.18,,0.44,0.52,2.61,0.47,0.41,1.81,0.37,0.47,0.20,0.00,3.21,4.51,0.86,0.52,1.16,0.41,3.08,1.82
CALU6_LUNG,3.03,1.51,1.57,1.60,0.50,,,1.07,0.19,,0.11,3.25,,0.71,0.44,1.04,6.51,4.08,,0.84,2.14,0.79,3.08,0.72
CAMA1_BREAST,3.18,0.43,0.16,0.06,0.00,3.16,0.56,0.72,0.15,0.44,0.07,0.24,0.22,0.18,0.37,0.07,4.39,5.01,0.82,0.15,0.11,0.49,1.09,0.37
CAPAN2_PANCREAS,3.90,1.66,1.72,1.52,0.40,1.59,0.00,0.31,0.60,0.75,0.73,3.12,0.37,1.11,0.16,0.37,3.41,3.48,0.87,0.00,2.46,0.25,1.30,1.92
CAS1_CENTRAL_NERVOUS_SYSTEM,2.20,0.66,0.69,0.10,0.09,2.22,0.01,0.08,0.03,0.21,0.02,0.59,0.14,0.62,0.00,0.07,4.03,3.68,0.79,0.06,1.02,0.36,1.73,0.24
CCK81_LARGE_INTESTINE,3.42,0.75,1.80,2.01,1.82,,0.00,0.73,2.31,,0.55,2.60,,0.33,0.71,0.26,3.41,4.72,0.74,0.12,1.84,0.64,2.43,2.39
CHL1_SKIN,3.28,0.82,1.14,0.73,1.21,2.99,0.00,0.46,2.05,0.32,0.28,0.82,0.08,0.17,0.55,0.32,5.86,5.13,2.39,0.69,1.41,1.06,2.85,1.33
CHP212_AUTONOMIC_GANGLIA,5.21,2.08,2.37,5.57,0.42,,0.75,2.08,0.46,,1.16,5.62,,1.08,0.86,0.39,5.93,5.65,1.06,0.57,2.32,0.65,3.36,1.69
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,3.88,0.66,0.64,0.57,0.46,4.50,0.03,0.06,0.07,0.22,0.72,0.60,1.02,0.87,0.90,0.18,6.76,4.98,1.66,0.34,1.17,1.05,4.91,2.39
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.77,1.78,0.69,1.59,1.11,4.35,1.68,0.45,1.10,1.81,0.93,1.80,2.59,2.18,1.05,0.82,5.92,6.27,2.74,1.06,3.34,2.36,4.96,0.49
COLO201_LARGE_INTESTINE,4.49,1.33,0.83,4.19,0.19,,0.00,0.97,0.14,0.89,0.28,5.76,1.44,0.80,0.25,2.65,5.18,5.01,2.49,0.80,2.09,0.78,3.17,0.33
COLO205_LARGE_INTESTINE,5.75,1.50,0.42,4.57,0.63,,0.84,0.67,0.19,0.60,0.94,5.70,0.93,1.33,0.55,3.20,7.08,4.86,2.15,1.20,3.00,0.91,4.42,1.05
COLO320_LARGE_INTESTINE,2.80,2.06,0.42,0.03,0.63,2.93,0.13,0.14,0.51,0.81,0.09,0.01,0.85,0.72,0.27,0.26,3.98,4.31,2.87,0.74,2.73,1.11,2.58,0.85
COLO677_LUNG,3.53,0.71,0.06,1.71,0.37,3.07,0.81,0.80,0.56,0.77,0.65,2.26,1.81,0.83,0.89,0.24,7.33,5.19,1.64,1.54,1.46,1.10,3.09,0.84
COLO678_LARGE_INTESTINE,4.24,1.07,0.84,1.87,1.16,1.92,0.41,0.60,1.18,0.30,0.83,3.14,0.49,0.42,0.23,0.41,2.71,3.32,1.36,0.86,1.48,0.66,1.84,1.87
COLO679_SKIN,3.98,0.93,0.14,3.31,0.49,2.15,0.34,0.14,0.00,0.54,0.70,4.73,0.48,0.42,0.49,2.22,4.52,4.62,2.42,0.46,0.85,0.69,2.22,0.31
COLO699_LUNG,2.81,1.68,0.67,0.38,0.22,2.75,0.68,0.30,0.84,0.88,0.18,0.69,0.90,0.75,0.34,0.24,4.77,3.90,1.99,1.01,1.64,1.28,2.48,1.43
COLO741_SKIN,3.23,1.48,0.43,2.49,0.96,,0.84,2.49,0.34,,0.88,2.76,,0.59,0.78,1.38,5.48,3.92,,0.30,1.37,1.26,3.19,0.74
CORL105_LUNG,1.98,0.43,0.77,1.13,1.13,,0.12,0.21,0.55,,0.33,1.89,,0.25,0.23,0.31,2.66,2.77,0.93,0.00,0.20,0.54,1.17,1.10
CORL23_LUNG,2.33,0.74,0.23,0.02,0.04,2.99,0.00,0.21,0.12,0.11,0.08,0.52,0.00,0.36,0.02,0.00,5.22,4.05,1.20,0.80,0.63,0.37,3.10,0.33
COV318_OVARY,1.97,0.77,0.72,0.08,0.05,2.34,0.11,0.23,0.00,0.56,0.39,0.02,0.29,0.43,0.05,0.53,2.88,3.63,0.85,0.25,1.42,0.92,2.08,1.21
COV504_OVARY,2.05,0.59,0.64,0.19,0.26,,0.26,0.38,0.00,0.16,0.01,0.98,0.00,0.28,0.00,0.11,3.77,3.29,1.40,0.09,1.12,0.50,1.17,0.75
DAOY_CENTRAL_NERVOUS_SYSTEM,3.60,0.79,0.27,0.33,0.23,3.97,0.00,0.64,0.05,0.25,0.24,0.02,0.01,0.27,0.03,0.21,5.94,4.81,0.98,0.40,0.73,0.59,3.91,0.70
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,2.75,0.87,1.48,3.14,0.40,3.45,0.00,0.45,0.30,0.35,0.81,2.92,0.39,0.47,1.08,1.87,5.38,3.74,2.57,0.72,1.47,0.62,3.20,0.60
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,5.24,1.26,1.47,1.44,0.47,5.87,2.14,0.98,1.04,1.28,0.89,1.31,1.64,3.73,2.34,1.25,7.34,5.96,2.35,1.99,5.99,1.35,5.92,2.05
DETROIT562_UPPER_AERODIGESTIVE_TRACT,2.86,0.39,1.20,1.01,0.85,,0.13,0.86,0.43,0.52,0.61,1.30,0.98,0.11,0.88,0.12,5.70,3.75,0.69,0.09,0.54,0.22,1.50,1.57
DKMG_CENTRAL_NERVOUS_SYSTEM,2.60,0.30,0.35,1.14,0.18,1.88,0.00,0.17,0.21,0.00,0.46,1.34,0.55,0.78,0.36,0.00,5.31,3.81,1.35,0.04,0.43,0.74,1.54,0.63
DMS114_LUNG,2.20,2.38,0.31,0.75,0.45,,0.61,1.34,0.22,0.85,0.33,0.44,0.87,2.15,0.89,0.07,5.56,4.58,1.65,0.74,1.85,1.15,3.11,1.02
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4.34,2.04,1.45,0.13,0.93,5.56,2.71,0.38,1.19,1.80,1.45,0.88,1.23,1.82,1.32,1.38,5.19,6.07,2.29,2.86,1.95,2.04,5.37,2.63
DOV13_OVARY,3.15,1.01,0.16,0.22,0.04,3.61,0.11,0.54,0.43,0.56,0.27,0.03,0.03,0.41,0.24,0.41,5.43,4.18,1.91,1.39,0.86,0.98,3.19,0.60
DU145_PROSTATE,4.42,0.96,1.39,0.86,0.98,3.56,0.08,0.29,0.77,0.07,0.02,1.33,0.06,0.66,0.23,0.30,6.09,4.93,2.41,0.33,1.41,1.25,2.98,1.55
DV90_LUNG,4.62,1.06,0.75,3.51,1.49,,0.66,4.29,0.93,,1.25,4.12,,0.17,3.05,0.10,6.38,5.60,,0.05,1.01,1.26,3.31,1.20
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.53,1.03,1.51,0.00,0.36,,0.06,1.09,0.25,0.32,0.17,0.92,0.77,0.33,0.74,0.15,5.65,4.02,1.55,0.27,0.41,0.72,3.18,1.18
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.83,0.15,0.22,0.00,0.28,,0.00,0.59,0.49,0.18,0.15,0.05,0.23,0.30,0.29,0.19,5.25,3.29,0.47,0.06,0.19,0.47,3.69,0.84
EBC1_LUNG,3.93,1.27,0.64,2.63,0.27,3.51,0.12,0.89,0.69,0.38,0.14,4.39,1.17,4.50,1.68,0.08,5.74,4.40,1.62,0.39,1.64,0.39,3.89,0.87
EFE184_ENDOMETRIUM,1.88,0.59,1.49,1.14,0.57,2.30,0.00,0.21,1.04,0.21,0.20,1.39,0.04,0.22,0.33,0.00,2.03,3.38,0.87,0.33,0.48,0.33,1.67,0.76
EFM19_BREAST,3.51,0.75,1.26,0.08,0.10,2.25,0.28,2.70,0.75,0.35,0.33,0.10,0.69,0.62,0.73,0.00,5.55,4.97,1.43,0.37,1.23,0.80,2.00,0.92
EFO21_OVARY,2.23,1.17,0.64,0.85,0.46,1.94,0.10,0.64,0.59,0.08,0.23,1.08,0.09,0.37,0.29,0.29,3.90,3.20,1.93,0.52,1.70,0.70,2.56,1.26
EFO27_OVARY,2.75,0.26,1.30,0.32,0.84,2.60,0.00,0.26,0.91,0.09,0.00,0.92,0.00,0.18,0.00,,3.90,4.94,2.02,0.33,0.45,0.70,2.11,
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4.67,1.16,4.27,3.65,0.89,5.23,2.07,1.06,0.34,6.06,0.92,4.54,1.55,3.02,0.94,1.06,7.04,5.64,2.78,1.70,2.31,1.69,5.29,3.33
EN_ENDOMETRIUM,2.66,0.66,0.63,0.26,0.00,0.93,0.02,0.00,0.41,0.14,0.15,0.56,0.03,0.45,0.08,0.00,4.01,3.57,0.50,0.34,0.70,0.43,0.74,0.40
ES2_OVARY,3.08,0.37,0.06,1.92,0.10,,0.05,1.16,0.05,,0.13,3.05,0.29,0.40,0.26,0.89,5.34,4.70,1.84,0.38,0.18,0.42,4.44,0.50
ESS1_ENDOMETRIUM,3.50,1.55,1.85,0.51,0.69,,,4.40,1.29,,0.74,0.95,,1.32,2.28,0.84,6.51,4.79,,0.45,1.94,1.73,6.21,1.39
F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,3.71,3.03,0.24,3.27,0.66,3.05,1.94,1.20,0.63,0.94,0.89,3.78,0.48,1.33,0.80,0.38,6.78,6.48,3.88,1.21,3.05,2.35,1.22,1.95
FADU_UPPER_AERODIGESTIVE_TRACT,5.16,0.57,1.90,2.47,1.55,,0.37,0.59,1.96,0.79,0.14,2.30,0.46,0.48,0.26,0.25,4.78,4.08,1.67,0.05,0.95,1.22,3.25,1.92
FU97_STOMACH,4.50,0.95,1.34,1.05,0.36,,0.40,0.49,0.36,,0.24,1.93,,0.22,0.81,0.66,4.44,5.21,1.41,1.07,1.35,1.77,1.56,1.55
FUOV1_OVARY,1.74,2.13,1.75,1.85,0.87,1.28,0.15,0.19,0.68,0.46,0.39,2.29,0.05,0.29,0.27,0.13,4.35,3.54,1.42,0.66,1.53,1.36,0.78,1.35
G361_SKIN,3.23,1.79,0.75,2.74,1.00,3.20,0.48,0.55,1.27,0.57,0.66,4.42,0.64,0.76,0.66,1.84,6.01,5.36,2.79,0.87,1.21,1.66,2.93,1.04
G401_SOFT_TISSUE,4.54,2.29,0.98,1.93,0.38,4.66,0.95,0.72,0.47,0.66,1.29,2.13,1.36,1.17,0.60,0.56,6.56,5.57,2.36,1.23,2.15,1.51,4.05,1.21
G402_SOFT_TISSUE,4.47,0.44,1.45,0.06,0.00,,0.01,0.38,0.21,,1.07,0.69,,0.66,0.81,0.15,5.98,3.84,1.64,1.15,0.67,1.39,4.22,0.48
GAMG_CENTRAL_NERVOUS_SYSTEM,3.71,0.49,0.21,0.23,0.14,,0.00,0.53,0.00,,0.33,0.30,,0.07,0.60,0.15,5.01,3.82,,0.11,0.16,0.45,1.23,0.49
GB1_CENTRAL_NERVOUS_SYSTEM,2.34,0.82,1.00,0.68,0.43,4.22,0.17,0.19,0.24,0.26,0.24,2.27,0.35,0.72,0.00,0.84,4.63,4.09,2.63,1.05,1.62,1.51,4.90,1.04
GCIY_STOMACH,2.18,0.79,1.20,0.07,0.97,,0.00,0.71,0.87,0.84,0.40,1.26,0.22,0.46,0.04,0.00,4.06,4.24,0.59,0.22,1.49,0.39,1.90,1.67
GCT_SOFT_TISSUE,3.41,1.33,1.14,1.30,0.61,4.69,0.50,2.32,0.76,0.58,0.17,2.09,0.96,1.17,1.83,1.51,6.53,4.61,2.89,0.50,2.10,1.24,4.60,1.24
GI1_CENTRAL_NERVOUS_SYSTEM,3.70,0.55,0.52,0.61,0.18,,0.22,0.47,0.22,,0.57,0.77,,1.09,0.43,0.69,5.66,4.60,,0.47,1.84,0.70,2.61,1.21
GLC82_LUNG,3.97,1.03,0.15,0.03,0.67,2.28,0.24,0.39,0.22,0.07,0.13,0.47,0.21,0.35,0.64,0.22,7.15,5.04,1.55,0.09,1.71,1.18,1.06,1.29
GMS10_CENTRAL_NERVOUS_SYSTEM,3.13,0.53,0.75,0.22,0.12,1.54,0.00,0.61,0.00,0.00,0.09,0.62,0.18,0.27,0.47,0.06,5.00,3.41,1.28,0.16,0.66,0.49,1.30,0.98
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.82,1.01,2.01,0.55,0.38,5.16,0.96,0.43,0.24,1.81,1.28,1.27,1.70,0.98,0.47,0.19,6.76,5.06,1.09,0.43,2.46,1.57,5.06,2.08
H4_CENTRAL_NERVOUS_SYSTEM,4.11,0.45,0.67,0.28,0.27,,0.06,0.22,0.05,0.56,1.25,0.02,0.74,1.59,0.51,0.63,5.24,4.34,1.43,0.16,1.86,1.45,2.67,1.19
HARA_LUNG,3.25,0.49,0.64,0.28,0.84,,0.00,0.35,0.73,,0.37,1.19,,0.15,0.14,0.14,6.12,3.59,1.09,0.33,1.01,0.59,3.12,1.17
HCC1187_BREAST,1.28,0.21,0.38,0.46,0.20,,2.29,0.23,0.00,0.12,0.47,0.54,0.37,0.05,0.45,0.18,5.82,3.68,0.59,0.21,0.45,0.39,1.85,0.90
HCC1395_BREAST,2.61,0.71,1.89,0.68,0.55,,0.40,1.29,0.35,,0.20,0.56,,0.27,0.45,0.38,5.45,2.81,,0.33,0.41,0.71,2.58,1.51
HCC1569_BREAST,2.81,0.40,0.46,0.00,0.19,2.42,0.00,0.04,0.32,0.16,0.09,0.23,0.31,0.03,0.39,0.01,2.72,3.20,0.21,0.20,0.00,0.22,0.82,0.55
HCC15_LUNG,3.86,1.16,0.93,1.41,0.34,,0.00,1.67,0.69,0.37,0.58,1.84,0.14,0.65,1.01,0.52,5.28,4.81,1.63,0.83,1.34,0.87,2.54,0.91
HCC1806_BREAST,4.14,1.00,2.05,1.62,2.10,,0.27,0.73,1.44,1.09,0.55,2.16,0.32,1.08,0.17,0.30,6.88,4.46,2.10,0.81,1.82,0.83,4.64,1.30
HCC1954_BREAST,4.58,0.81,1.63,0.90,0.84,,0.10,0.50,2.08,0.56,0.27,1.63,1.22,0.49,0.26,0.03,5.63,3.75,1.21,0.45,0.50,0.26,1.22,1.35
HCC2935_LUNG,4.77,0.54,2.23,0.73,2.69,1.74,0.06,0.00,1.91,0.30,0.00,0.75,0.19,0.01,0.10,0.77,2.46,3.85,1.17,0.00,0.93,0.31,2.07,3.27
HCC4006_LUNG,3.43,0.81,2.39,0.20,3.74,2.57,0.62,0.21,1.82,0.77,0.14,1.75,0.67,0.53,0.00,0.09,5.89,3.85,1.85,0.37,1.52,0.67,1.71,3.07
HCC44_LUNG,4.74,0.93,0.46,0.70,0.15,,0.45,2.34,0.15,,0.10,1.55,,0.20,1.19,0.57,5.86,4.19,1.55,0.50,1.03,0.37,2.22,0.94
HCC56_LARGE_INTESTINE,,0.63,1.19,3.78,0.27,1.83,,0.40,0.45,0.10,0.19,5.03,0.30,0.22,0.30,0.00,4.15,4.37,0.60,0.08,0.89,0.19,1.58,0.71
HCC70_BREAST,3.03,0.62,0.57,1.23,0.34,2.22,0.00,0.43,0.61,0.09,0.14,2.11,0.00,0.22,0.17,0.06,5.49,4.42,0.72,0.58,0.97,0.67,2.50,0.86
HCC78_LUNG,1.82,0.34,0.39,0.15,0.02,,0.00,0.38,0.07,0.01,0.07,0.37,0.16,0.58,0.71,0.24,3.54,3.99,0.18,0.00,0.89,0.22,4.12,0.51
HCC827_LUNG,3.07,0.81,2.90,0.00,4.41,,0.75,0.48,0.96,,0.00,0.73,,0.31,0.48,0.37,4.52,4.06,,0.60,1.50,0.12,1.74,3.12
HCT116_LARGE_INTESTINE,3.46,0.57,0.30,1.95,0.22,3.35,0.06,0.19,0.36,0.21,0.55,3.67,0.15,0.68,0.63,0.17,6.45,4.91,2.03,0.83,1.09,0.63,3.20,0.31
HCT15_LARGE_INTESTINE,2.63,1.18,0.91,0.61,0.46,2.74,0.01,1.11,1.02,0.68,0.02,1.41,0.22,0.32,0.21,0.17,3.17,3.18,2.49,1.14,0.92,1.18,2.72,0.28
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,3.74,1.39,0.54,2.76,0.87,,,0.40,0.66,,0.33,4.69,,0.84,0.70,0.79,6.76,4.32,,0.95,1.42,1.27,5.77,0.40
HDQP1_BREAST,4.98,1.00,2.19,1.44,1.64,3.88,2.45,0.83,2.47,3.05,1.61,3.68,3.21,1.00,1.22,0.35,6.31,4.72,2.05,0.12,1.80,1.65,3.77,2.05
HEC151_ENDOMETRIUM,3.80,0.24,1.67,3.23,2.26,2.92,0.73,0.60,1.59,0.68,0.14,3.67,0.60,0.51,0.99,0.00,6.31,5.43,2.89,0.70,1.70,1.06,3.69,2.19
HEC1A_ENDOMETRIUM,2.82,0.85,1.67,1.05,0.12,,0.03,0.76,0.12,0.74,0.35,1.65,0.41,0.28,0.00,0.29,4.90,4.81,1.66,0.70,0.61,0.90,2.29,0.49
