CCLE Cell Line Name	17-AAG	AEW541	AZD0530	AZD6244	Erlotinib	Irinotecan	L-685458	LBW242	Lapatinib	Nilotinib	Nutlin-3	PD-0325901	PD-0332991	PF2341066	PHA-665752	PLX4720	Paclitaxel	Panobinostat	RAF265	Sorafenib	TAE684	TKI258	Topotecan	ZD-6474
A204_SOFT_TISSUE	0.18	-0.80	-0.36	-1.05	-0.40	0.54	-0.20	-0.61	-0.52	1.59	-0.35	-0.89	0.49	-0.31	0.25	-0.71	-0.64	-0.81	1.03	2.93	-0.03	2.25	-0.28	-0.27
A2058_SKIN	1.30	-0.05	-0.25	0.42	-0.98	0.96	-0.63	0.69	-0.87	-0.67	-0.90	0.39	-0.86	-0.36	-0.60	0.38	1.50	0.02	-0.60	-0.97	-0.52	-0.15	0.17	0.26
A253_SALIVARY_GLAND	0.30	-0.65	0.48	0.19	0.38	-1.11	-0.42	-0.05	0.21	-0.32	0.19	-0.35	-0.85	-0.64	-0.51	-0.59	0.34	0.07	0.06	-0.24	-0.70	-0.82	1.34	0.18
A2780_OVARY	1.31	-0.60	-0.81	1.05	-0.63	1.45	0.69	-0.55	-0.10	-0.14	1.04	1.18	0.23	1.06	-0.92	-0.16	1.00	0.18	0.77	0.82	0.71	1.53	1.37	0.25
A375_SKIN	0.16	0.70	-0.11	1.71	-0.52	1.15	-0.70	-0.91	-0.82	-0.00	-0.16	2.02	-0.54	-0.03	-0.20	4.12	0.68	0.32	1.01	0.10	0.66	0.25	0.21	-0.50
A549_LUNG	-0.40	1.02	-0.64	0.47	-0.21	-0.13	-0.74	-0.65	-0.02	0.19	-0.09	0.85	-0.47	-0.45	-0.81	-0.80	-0.17	-0.72	0.01	0.18	0.01	0.54	-0.85	-1.03
A673_BONE	0.27	0.95	-0.06	0.04	-0.82	-1.11	-0.27	0.49	-1.04	-0.69	0.15	-0.87	-0.46	1.47	-0.78	0.51	1.39	0.40	0.65	-0.49	0.50	-0.36	2.04	0.35
ACHN_KIDNEY	-1.28	-0.68	0.30	-0.55	1.00	-1.11	-0.74	-0.33	0.24	-0.69	-0.10	-0.43	-0.86	-0.43	-0.66	-0.17	-0.92	0.22	1.17	0.16	-0.43	0.01	0.63	1.01
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-0.17	1.42	4.01	-0.08	0.73	2.28	3.32	0.59	0.75	8.57	2.33	-0.11	0.38	3.97	2.29	0.91	1.15	2.18	1.23	2.95	1.80	1.86	2.87	2.70
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.82	3.12	-0.86	0.25	0.66	1.04	1.62	-0.24	0.84	1.37	1.42	0.76	0.14	0.99	1.03	-0.10	1.06	1.76	0.47	0.80	2.15	1.08	1.34	0.19
AN3CA_ENDOMETRIUM	0.59	-1.13	-0.67	-0.61	-0.50	-1.11	-0.57	-0.02	-1.05	-0.43	0.64	-0.79	0.13	-1.20	0.10	-0.18	0.29	-0.85	-0.39	-0.70	-1.31	0.20	-1.18	1.03
ASPC1_PANCREAS	0.03	0.61	-0.46	0.70	-0.59	0.18	-0.40	-0.35	-0.42	-0.41	-1.09	0.50	-0.86	-0.23	-0.46	-0.33	-0.84	-0.18	0.17	-0.26	0.22	-0.74	-1.07	-0.01
AU565_BREAST	0.84	-0.44	-0.99	-1.06	-0.20	-1.11	0.81	0.10	4.41	0.46	-0.71	-1.27	0.60	0.10	-0.34	0.20	1.14	0.82	0.13	0.13	-1.40	-0.40	0.73	0.04
AZ521_STOMACH	0.21	2.20	1.56	0.18	0.79	1.42	1.63	0.34	1.31	0.82	1.85	0.19	0.66	0.40	-0.39	0.21	0.92	0.60	0.92	0.25	1.35	2.06	0.86	0.83
BCPAP_THYROID	0.08	0.48	0.72	1.03	-0.48	1.18	0.16	0.45	-0.52	0.28	0.42	0.67	-0.24	-0.17	0.71	1.23	1.14	0.04	0.89	1.89	0.43	-0.04	0.58	-0.65
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.40	-1.16	1.21	0.11	-0.98	-1.11	-0.74	-0.70	-1.05	-0.69	-0.78	0.30	0.46	-1.24	-0.91	-0.44	0.90	-0.56	-0.93	-0.54	-1.37	-0.57	0.69	1.19
BFTC909_KIDNEY	0.22	-0.22	-0.97	-0.84	-0.92	-1.11	-0.46	-0.33	-0.78	-0.69	-1.10	-0.70	-0.47	-0.50	-0.67	-0.62	-0.01	-0.29	-0.96	-1.07	-0.80	0.49	0.16	-0.45
BGC823_STOMACH	0.82	0.89	-1.16	-0.99	-0.68	0.20	-0.36	-0.85	-0.83	-0.65	-1.02	-1.15	-0.86	0.16	-0.97	-0.56	1.37	0.71	-0.94	-0.82	0.80	-0.11	-1.33	-0.56
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-0.40	-1.14	-1.22	-1.10	-0.96	1.62	-0.74	-0.94	-0.06	-0.69	-1.14	-1.30	-0.39	0.23	-0.98	-0.79	1.46	0.37	-0.71	-1.07	-0.98	0.21	0.95	-0.98
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.20	-0.31	1.40	-1.05	-0.41	1.70	-0.69	-0.58	-0.49	-0.47	-0.84	-1.25	0.95	0.30	-0.21	0.22	1.04	1.67	-0.20	-0.86	-0.81	1.33	1.27	1.14
BT20_BREAST	-2.25	-0.84	0.25	-1.13	1.09	0.28	-0.19	-0.33	-0.03	-0.17	-0.69	-0.98	-0.62	-0.37	-0.09	-0.80	-0.18	0.20	-0.58	-0.17	-0.62	-1.38	-0.60	-0.50
BT474_BREAST	0.38	-0.55	-0.24	-1.04	-0.48	-1.11	0.63	-0.81	4.12	-0.00	-0.60	-0.90	0.81	-0.86	-0.19	-0.51	-1.39	0.87	-0.92	0.47	-1.10	-1.04	-2.21	-0.91
BT549_BREAST	1.35	-0.05	-0.20	-0.92	-0.59	0.85	-0.46	1.31	0.48	0.15	-0.51	-1.20	-0.86	-0.35	-0.77	0.01	0.47	-0.64	0.83	0.05	-0.62	0.24	1.01	-0.27
BXPC3_PANCREAS	0.09	-0.50	0.74	0.56	0.18	-1.11	-0.05	2.39	0.94	-0.69	0.71	0.67	-0.86	-0.31	0.70	0.67	0.20	-0.42	-1.71	-0.40	0.39	0.29	-0.04	0.11
C2BBE1_LARGE_INTESTINE	-1.07	0.53	1.41	0.25	0.81	-1.11	-0.73	-0.28	1.14	0.28	-0.26	0.49	0.42	-0.02	-0.98	-0.12	-1.31	0.36	-0.37	-0.64	0.18	-0.71	-1.25	1.11
C32_SKIN	3.07	-0.36	-1.29	0.46	-0.53	0.06	-0.67	-0.34	-1.05	-0.51	-1.15	0.92	-0.74	-0.80	-0.62	1.27	-1.53	-2.11	-0.28	-0.47	-0.78	-0.94	-0.52	-1.00
C3A_LIVER	1.83	0.85	-0.27	0.21	-0.26	-1.11	0.29	0.92	-0.18	-0.69	-0.15	0.38	-0.20	-0.38	0.45	0.03	-1.68	0.98	-0.35	0.29	-0.30	-1.16	-0.25	0.37
CAKI2_KIDNEY	-1.71	0.20	0.56	-0.04	0.75	-0.80	-0.51	-0.53	0.12	-0.64	-0.81	-0.03	-0.63	-1.24	-0.98	-0.13	-0.30	-0.73	0.18	-0.22	-0.71	0.01	-1.45	0.15
CAL12T_LUNG	0.10	1.77	1.17	-0.08	1.83	-1.11	-0.74	0.55	1.24	-0.69	0.39	0.23	-0.86	0.76	1.95	0.19	-0.17	-0.21	-1.71	0.18	1.86	0.95	-0.79	1.93
CAL27_UPPER_AERODIGESTIVE_TRACT	0.67	-0.15	0.72	0.88	2.69	-1.11	-0.74	-0.60	1.83	-0.69	-1.15	0.51	-0.86	-0.31	0.50	-0.80	1.46	0.12	-0.40	-0.44	-0.86	-0.62	0.74	3.22
CAL78_BONE	0.90	0.40	-0.38	-1.02	0.12	0.56	0.66	-0.03	-0.39	0.00	-1.10	-1.17	-0.59	0.22	-0.34	-0.20	0.29	0.29	0.37	-0.50	0.10	1.31	0.16	-1.21
CAL851_BREAST	0.28	0.57	1.03	0.33	2.23	0.53	-0.57	1.77	1.87	-0.59	-0.81	0.32	-0.53	-0.75	-0.89	-0.35	0.14	0.45	1.12	-0.98	-0.42	-1.06	-0.39	0.78
CALU1_LUNG	-0.02	-1.46	-1.03	0.25	-0.91	-0.07	-0.71	-0.95	-0.51	-0.44	-0.32	0.22	-0.79	-1.10	-0.61	-0.80	-0.77	-0.92	0.22	-0.96	-0.56	-0.58	-0.77	-1.08
CALU3_LUNG	-1.29	-0.78	1.81	0.90	0.88	-1.11	0.07	-0.29	2.94	-0.07	-0.24	-0.05	-0.27	-0.46	-0.61	-0.79	-1.52	0.18	-0.66	-0.09	-0.19	-0.91	0.12	0.93
CALU6_LUNG	-0.35	0.80	0.77	0.24	-0.20	-1.11	-0.74	0.50	-0.76	-0.69	-0.91	0.94	-0.86	-0.05	-0.15	0.92	0.99	-0.30	-1.71	0.54	0.98	-0.26	0.11	-0.63
CAMA1_BREAST	-0.21	-1.00	-1.08	-1.09	-0.98	0.70	0.30	-0.01	-0.83	-0.11	-0.99	-1.14	-0.51	-0.94	-0.29	-0.68	-0.62	0.74	-0.72	-0.78	-1.44	-0.77	-1.48	-1.12
CAPAN2_PANCREAS	0.49	1.05	0.96	0.17	-0.35	-0.20	-0.74	-0.59	-0.12	0.30	0.47	0.85	-0.26	0.63	-0.67	-0.18	-1.36	-0.96	-0.65	-1.07	1.36	-1.19	-1.31	1.08
CAS1_CENTRAL_NERVOUS_SYSTEM	-1.15	-0.62	-0.39	-1.06	-0.84	0.17	-0.71	-0.94	-1.00	-0.42	-1.11	-0.90	-0.63	-0.20	-0.98	-0.69	-0.89	-0.75	-0.75	-0.95	-0.36	-0.99	-0.97	-1.30
CCK81_LARGE_INTESTINE	0.03	-0.47	1.07	0.60	1.90	-1.11	-0.74	0.00	2.48	-0.69	0.05	0.49	-0.86	-0.69	0.37	-0.36	-1.37	0.41	-0.82	-0.85	0.63	-0.52	-0.41	1.73
CHL1_SKIN	-0.11	-0.35	0.20	-0.52	0.93	0.61	-0.74	-0.38	2.08	-0.26	-0.53	-0.73	-0.73	-0.95	0.08	-0.27	0.50	0.86	1.18	0.25	0.11	0.20	-0.07	0.24
CHP212_AUTONOMIC_GANGLIA	1.75	1.75	1.82	3.67	-0.32	-1.11	0.64	1.97	-0.34	-0.69	1.39	2.58	-0.86	0.57	0.66	-0.15	0.55	1.45	-0.43	0.01	1.20	-0.49	0.34	0.74
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.47	-0.62	-0.46	-0.66	-0.25	1.48	-0.69	-0.96	-0.94	-0.41	0.44	-0.88	0.79	0.23	0.74	-0.50	1.19	0.71	0.29	-0.42	-0.18	0.18	1.58	1.73
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-0.60	1.26	-0.39	0.23	0.78	1.39	2.36	-0.40	0.64	1.70	0.89	-0.06	3.34	2.43	1.02	0.55	0.54	2.13	1.59	0.94	2.42	2.42	1.62	-0.95
COLO201_LARGE_INTESTINE	1.06	0.50	-0.21	2.48	-0.68	-1.11	-0.74	0.35	-0.83	0.48	-0.52	2.67	1.47	0.10	-0.50	3.60	-0.02	0.73	1.30	0.46	0.93	-0.29	0.19	-1.18
COLO205_LARGE_INTESTINE	2.27	0.79	-0.74	2.81	0.02	-1.11	0.82	-0.07	-0.76	0.10	0.92	2.63	0.64	0.99	0.07	4.51	1.43	0.57	0.88	1.23	2.01	-0.06	1.19	-0.16
COLO320_LARGE_INTESTINE	-0.57	1.72	-0.74	-1.12	0.01	0.57	-0.50	-0.85	-0.26	0.38	-0.95	-1.29	0.51	-0.03	-0.47	-0.36	-0.93	-0.04	1.75	0.34	1.69	0.28	-0.29	-0.44
COLO677_LUNG	0.13	-0.54	-1.22	0.33	-0.40	0.66	0.76	0.11	-0.20	0.33	0.27	0.26	2.07	0.15	0.71	-0.39	1.62	0.93	0.27	1.87	0.17	0.27	0.13	-0.45
COLO678_LARGE_INTESTINE	0.82	0.07	-0.19	0.47	0.86	-0.01	0.01	-0.19	0.75	-0.30	0.67	0.86	-0.07	-0.53	-0.55	-0.12	-1.89	-1.15	-0.06	0.57	0.19	-0.48	-0.88	1.00
COLO679_SKIN	0.57	-0.16	-1.12	1.72	-0.21	0.12	-0.12	-0.85	-1.05	0.02	0.39	1.97	-0.09	-0.54	-0.05	2.88	-0.52	0.30	1.22	-0.19	-0.56	-0.44	-0.57	-1.20
COLO699_LUNG	-0.56	1.08	-0.41	-0.82	-0.63	0.47	0.52	-0.61	0.24	0.47	-0.74	-0.82	0.59	0.02	-0.33	-0.39	-0.33	-0.49	0.70	0.86	0.39	0.57	-0.36	0.38
COLO741_SKIN	-0.15	0.75	-0.72	1.00	0.54	-1.11	0.82	2.56	-0.53	-0.69	0.78	0.60	-0.86	-0.25	0.51	1.48	0.21	-0.47	-1.71	-0.50	0.07	0.53	0.20	-0.60
CORL105_LUNG	-1.36	-0.99	-0.29	-0.17	0.80	-1.11	-0.52	-0.75	-0.21	-0.69	-0.42	0.00	-0.86	-0.82	-0.55	-0.28	-1.93	-1.75	-0.59	-1.07	-1.34	-0.68	-1.41	-0.08
CORL23_LUNG	-1.02	-0.48	-1.00	-1.13	-0.93	0.61	-0.74	-0.75	-0.86	-0.54	-0.96	-0.94	-0.86	-0.64	-0.94	-0.80	0.01	-0.33	-0.26	0.46	-0.82	-0.98	0.13	-1.18
COV318_OVARY	-1.37	-0.44	-0.35	-1.08	-0.90	0.23	-0.54	-0.72	-1.05	0.05	-0.29	-1.28	-0.38	-0.52	-0.89	0.08	-1.77	-0.80	-0.68	-0.60	0.13	-0.05	-0.69	0.06
COV504_OVARY	-1.29	-0.72	-0.46	-0.98	-0.57	-1.11	-0.26	-0.49	-1.05	-0.47	-1.12	-0.62	-0.86	-0.77	-0.98	-0.61	-1.08	-1.18	-0.02	-0.90	-0.24	-0.76	-1.41	-0.59
DAOY_CENTRAL_NERVOUS_SYSTEM	0.20	-0.40	-0.93	-0.86	-0.62	1.17	-0.74	-0.12	-0.97	-0.36	-0.62	-1.29	-0.84	-0.78	-0.93	-0.46	0.56	0.51	-0.53	-0.31	-0.71	-0.60	0.78	-0.65
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	-0.62	-0.27	0.64	1.57	-0.36	0.87	-0.74	-0.39	-0.59	-0.23	0.62	0.72	-0.24	-0.46	1.07	2.30	0.13	-0.68	1.39	0.30	0.19	-0.55	0.21	-0.79
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.77	0.39	0.63	0.10	-0.23	2.27	3.22	0.37	0.54	1.00	0.80	-0.39	1.79	5.05	3.48	1.27	1.63	1.79	1.13	2.73	5.59	0.69	2.38	1.26
DETROIT562_UPPER_AERODIGESTIVE_TRACT	-0.51	-1.06	0.28	-0.27	0.37	-1.11	-0.49	0.20	-0.39	-0.01	0.19	-0.40	0.73	-1.06	0.70	-0.61	0.38	-0.66	-0.88	-0.91	-0.93	-1.23	-1.15	0.57
DKMG_CENTRAL_NERVOUS_SYSTEM	-0.76	-1.21	-0.84	-0.16	-0.70	-0.03	-0.74	-0.81	-0.74	-0.69	-0.14	-0.38	0.03	0.08	-0.29	-0.80	0.09	-0.60	-0.08	-0.99	-1.07	-0.35	-1.12	-0.75
DMS114_LUNG	-1.14	2.25	-0.89	-0.50	-0.26	-1.11	0.39	0.89	-0.72	0.43	-0.42	-1.00	0.55	2.38	0.73	-0.69	0.27	0.26	0.29	0.35	0.63	0.34	0.14	-0.21
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.91	1.69	0.60	-1.03	0.48	2.09	4.27	-0.50	0.77	1.68	2.04	-0.69	1.13	1.82	1.54	1.48	-0.01	1.92	1.05	4.39	0.75	1.88	1.94	2.07
DOV13_OVARY	-0.23	-0.04	-1.08	-0.95	-0.91	0.96	-0.54	-0.26	-0.40	0.05	-0.56	-1.28	-0.82	-0.55	-0.52	-0.12	0.17	-0.19	0.60	1.58	-0.55	0.07	0.20	-0.79
DU145_PROSTATE	0.98	-0.12	0.53	-0.40	0.57	0.93	-0.59	-0.63	0.13	-0.60	-1.09	-0.38	-0.77	-0.13	-0.54	-0.30	0.68	0.65	1.20	-0.45	0.11	0.53	0.04	0.55
DV90_LUNG	1.18	0.06	-0.31	1.89	1.39	-1.11	0.48	5.17	0.38	-0.69	1.59	1.54	-0.86	-0.96	4.85	-0.64	0.90	1.39	-1.71	-0.98	-0.37	0.55	0.30	0.06
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-0.83	0.00	0.68	-1.15	-0.41	-1.11	-0.63	0.54	-0.67	-0.27	-0.77	-0.66	0.39	-0.69	0.44	-0.54	0.34	-0.37	0.16	-0.56	-1.09	-0.38	0.20	0.03
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-1.51	-1.47	-1.00	-1.14	-0.55	-1.11	-0.74	-0.19	-0.31	-0.46	-0.81	-1.27	-0.49	-0.74	-0.42	-0.48	0.04	-1.18	-1.14	-0.95	-1.35	-0.80	0.60	-0.45
EBC1_LUNG	0.52	0.41	-0.45	1.13	-0.55	0.90	-0.51	0.24	0.01	-0.20	-0.83	1.73	1.04	6.34	2.23	-0.67	0.41	0.06	0.24	-0.32	0.39	-0.94	0.76	-0.42
EFE184_ENDOMETRIUM	-1.46	-0.73	0.66	-0.16	-0.07	0.21	-0.74	-0.74	0.53	-0.41	-0.71	-0.34	-0.80	-0.88	-0.35	-0.80	-2.42	-1.08	-0.66	-0.44	-1.00	-1.04	-1.01	-0.57
EFM19_BREAST	0.11	-0.46	0.36	-1.08	-0.83	0.18	-0.22	2.87	0.11	-0.24	-0.43	-1.23	0.26	-0.19	0.40	-0.80	0.27	0.69	0.02	-0.36	-0.11	-0.25	-0.75	-0.34
EFO21_OVARY	-1.12	0.23	-0.46	-0.42	-0.25	0.00	-0.56	-0.11	-0.14	-0.58	-0.65	-0.55	-0.71	-0.61	-0.44	-0.31	-0.99	-1.28	0.62	-0.07	0.46	-0.42	-0.30	0.14
EFO27_OVARY	-0.61	-1.28	0.42	-0.87	0.35	0.39	-0.74	-0.67	0.35	-0.57	-1.15	-0.67	-0.86	-0.94	-0.98	-0.80	-0.99	0.66	0.72	-0.45	-1.04	-0.41	-0.66	-1.64
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.23	0.23	4.30	2.01	0.43	1.90	3.08	0.49	-0.54	7.33	0.86	1.83	1.65	3.85	0.80	0.95	1.40	1.44	1.64	2.18	1.18	1.27	1.88	3.06
EN_ENDOMETRIUM	-0.70	-0.62	-0.47	-0.92	-0.98	-0.58	-0.70	-1.05	-0.43	-0.51	-0.83	-0.92	-0.81	-0.48	-0.83	-0.80	-0.91	-0.86	-1.10	-0.43	-0.74	-0.88	-1.76	-1.07
ES2_OVARY	-0.30	-1.11	-1.22	0.52	-0.83	-1.11	-0.65	0.63	-0.97	-0.69	-0.86	0.80	-0.40	-0.58	-0.49	0.68	0.10	0.39	0.51	-0.35	-1.37	-0.89	1.20	-0.94
ESS1_ENDOMETRIUM	0.10	0.87	1.13	-0.70	0.11	-1.11	-0.74	5.33	0.93	-0.69	0.47	-0.65	-0.86	0.98	3.37	0.59	0.99	0.49	-1.71	-0.21	0.74	1.35	2.62	0.33
F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.30	3.34	-0.98	1.68	0.07	0.64	2.85	0.69	-0.08	0.55	0.80	1.31	-0.08	1.00	0.55	-0.17	1.20	2.36	2.97	1.25	2.07	2.39	-1.38	1.11
FADU_UPPER_AERODIGESTIVE_TRACT	1.70	-0.77	1.20	0.99	1.47	-1.11	-0.06	-0.20	1.94	0.36	-0.84	0.28	-0.11	-0.44	-0.48	-0.38	-0.32	-0.30	0.31	-0.98	-0.44	0.48	0.26	1.08
FU97_STOMACH	1.06	-0.13	0.47	-0.24	-0.41	-1.11	0.00	-0.34	-0.50	-0.69	-0.62	0.03	-0.86	-0.87	0.56	0.30	-0.58	0.95	-0.01	0.96	0.04	1.42	-1.10	0.55
FUOV1_OVARY	-1.58	1.84	1.00	0.45	0.39	-0.38	-0.46	-0.77	-0.01	-0.08	-0.30	0.28	-0.78	-0.76	-0.47	-0.58	-0.65	-0.90	0.00	0.18	0.25	0.70	-1.72	0.27
G361_SKIN	-0.16	1.26	-0.32	1.22	0.60	0.73	0.15	-0.26	0.90	0.06	0.29	1.75	0.18	0.03	0.28	2.26	0.62	1.13	1.65	0.58	-0.13	1.22	-0.01	-0.17
G401_SOFT_TISSUE	1.10	2.10	-0.01	0.52	-0.38	1.57	1.01	-0.00	-0.32	0.18	1.69	0.17	1.34	0.72	0.17	0.13	1.03	1.36	1.13	1.28	1.00	0.96	0.89	0.07
G402_SOFT_TISSUE	1.03	-0.99	0.61	-1.09	-0.98	-1.11	-0.72	-0.50	-0.73	-0.69	1.20	-0.82	-0.86	-0.13	0.57	-0.55	0.59	-0.57	0.27	1.12	-0.77	0.76	1.03	-0.96
GAMG_CENTRAL_NERVOUS_SYSTEM	0.31	-0.90	-1.02	-0.95	-0.77	-1.11	-0.74	-0.28	-1.05	-0.69	-0.42	-1.09	-0.86	-1.12	0.16	-0.54	-0.14	-0.59	-1.71	-0.87	-1.38	-0.85	-1.36	-0.95
GB1_CENTRAL_NERVOUS_SYSTEM	-1.01	-0.35	0.02	-0.56	-0.30	1.32	-0.43	-0.77	-0.68	-0.35	-0.62	0.27	-0.29	-0.02	-0.98	0.60	-0.44	-0.29	1.47	0.93	0.36	0.97	1.57	-0.18
GCIY_STOMACH	-1.17	-0.40	0.28	-1.09	0.56	-1.11	-0.74	-0.02	0.28	0.41	-0.26	-0.43	-0.51	-0.47	-0.90	-0.80	-0.87	-0.12	-0.99	-0.65	0.20	-0.95	-0.83	0.72
GCT_SOFT_TISSUE	0.02	0.50	0.20	-0.02	-0.02	1.59	0.19	2.31	0.11	0.08	-0.78	0.14	0.69	0.73	2.51	1.71	1.01	0.29	1.78	-0.12	0.93	0.50	1.34	0.12
GI1_CENTRAL_NERVOUS_SYSTEM	0.29	-0.81	-0.61	-0.62	-0.70	-1.11	-0.33	-0.36	-0.72	-0.69	0.10	-0.77	-0.86	0.59	-0.16	0.34	0.35	0.28	-1.71	-0.18	0.62	-0.41	-0.26	0.08
GLC82_LUNG	0.56	-0.00	-1.10	-1.12	0.08	0.20	-0.31	-0.48	-0.72	-0.61	-0.85	-0.97	-0.52	-0.65	0.24	-0.43	1.48	0.77	0.17	-0.91	0.47	0.40	-1.50	0.18
GMS10_CENTRAL_NERVOUS_SYSTEM	-0.25	-0.83	-0.31	-0.95	-0.79	-0.23	-0.74	-0.16	-1.04	-0.69	-0.95	-0.87	-0.57	-0.78	-0.09	-0.70	-0.15	-1.05	-0.16	-0.77	-0.79	-0.77	-1.31	-0.25
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-0.55	-0.04	1.34	-0.67	-0.38	1.86	1.03	-0.43	-0.69	1.71	1.65	-0.42	1.89	0.40	-0.09	-0.48	1.18	0.79	-0.39	-0.24	1.36	1.08	1.70	1.30
H4_CENTRAL_NERVOUS_SYSTEM	0.69	-0.96	-0.41	-0.90	-0.56	-1.11	-0.63	-0.73	-0.97	0.05	1.59	-1.29	0.34	1.44	-0.01	0.25	0.03	-0.00	0.01	-0.76	0.65	0.86	-0.21	0.04
HARA_LUNG	-0.14	-0.91	-0.45	-0.91	0.36	-1.11	-0.74	-0.53	0.06	-0.69	-0.33	-0.48	-0.86	-0.99	-0.72	-0.56	0.70	-0.85	-0.39	-0.44	-0.37	-0.61	0.15	0.01
HCC1187_BREAST	-2.03	-1.37	-0.80	-0.75	-0.67	-1.11	3.49	-0.72	-1.05	-0.54	-0.12	-0.93	-0.27	-1.15	-0.12	-0.50	0.47	-0.74	-0.99	-0.67	-1.04	-0.94	-0.86	-0.37
HCC1395_BREAST	-0.75	-0.53	1.19	-0.56	-0.11	-1.11	0.00	0.82	-0.52	-0.69	-0.71	-0.91	-0.86	-0.78	-0.12	-0.16	0.19	-1.71	-1.71	-0.43	-1.09	-0.40	-0.29	0.49
HCC1569_BREAST	-0.56	-1.05	-0.69	-1.15	-0.68	0.28	-0.74	-0.99	-0.56	-0.48	-0.95	-1.14	-0.36	-1.19	-0.23	-0.78	-1.89	-1.27	-1.45	-0.68	-1.58	-1.23	-1.69	-0.86
